clauseId:ID(Clause),text,clauseNumber,:LABEL
cl_pol_chubb_672aec9c_bc48910a,Policy Period: ---,,Clause
cl_pol_chubb_672aec9c_f9ff9e22,- Schedule..................................................................................................................i - Endorsement......................................................................................................... iv - Policy Wording....................................................................................................... 1 - 1. Insuring Agreements...................................................................................1 - 2. Extensions...................................................................................................1 - 3. Definitions...................................................................................................6 - 4. Exclusions .................................................................................................16 - 5. Conditions.................................................................................................18 - 6. Discovery Period .......................................................................................23 - 7. Non-avoidance and Severability ...............................................................23 - Personal Information Collection Statement..................................................24 - About Chubb in Hong Kong SAR...................................................................26 - Contact Us........................................................................................................26,,Clause
cl_pol_chubb_672aec9c_327afb6b,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_0a61df7b,"©2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SMare protected trademarks of Chubb. ---",,Clause
cl_pol_chubb_672aec9c_2652c7dd,Policy Number:,,Clause
cl_pol_chubb_672aec9c_ee76bf8f,"|Item 1|Company:|Principal Address:| |---|---|---| |Item 2|Policy Period:|From:| | |To:|Both days inclusive. L.S.T. (Local Standard Time) means the time applicable on the relevant date at the Principal Address.| |Item 3|Limit of Liability in the|HKD/USD aggregate:| |Item 4|Retention:|Insuring Agreement B and indemnifiable Loss:| | |(i) Claims falling under the jurisdiction of the courts in the United States of America or settled by compromise in the United States of America:| | | |(a) alleging violation of any of the provisions of the Securities Act 1933, the Securities Exchange Act 1934 or any similar federal or state law or any common law relating thereto:|HKD/USD| | |(b) alleging an Employment Related Wrongful Act:|HKD/USD| | |(c) for all other Claims:|HKD/USD|",,Clause
cl_pol_chubb_672aec9c_e7aea524,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_a66b6bd7,"©2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb. ---",,Clause
cl_pol_chubb_672aec9c_4f6d36bf,- (a) alleging violation of any securities laws or provisions common or statutory: HKD/USD - (b) alleging an Employment Related Wrongful Act: HKD/USD - (c) for all other Claims: HKD/USD,,Clause
cl_pol_chubb_672aec9c_ba055d70,- (i) Securities Claims falling under the jurisdiction of the courts in the United States of America or settled by compromise in the United States of America: HKD/USD - (ii) Securities Claims falling anywhere in the world other than in the United States of America: HKD/USD,,Clause
cl_pol_chubb_672aec9c_f53f1e81,- (i) Investigations falling under the jurisdiction of the courts in the United States of America or settled by compromise in the United States of America: HKD/USD - (ii) Investigations falling anywhere in the world other than in the United States of America: HKD/USD,,Clause
cl_pol_chubb_672aec9c_d6906433,- (i) shares registered (including 144A) on any exchange in Asia but excluding any initial public offering: HKD/USD - (ii) shares registered on any exchange outside Asia but excluding any initial public offering: HKD/USD - (iii) shares registered for initial public offering (including 144A) on any exchange in Asia: HKD/USD - (iv) shares registered for initial public offering on any exchange outside Asia: HKD/USD - (v) debts or notes registered on any exchange in the United States of America: HKD/USD - (vi) debts or notes not registered on any exchange in the United States of America: HKD/USD,,Clause
cl_pol_chubb_672aec9c_ee98b583,Premium Levy:,,Clause
cl_pol_chubb_672aec9c_46ce74a4,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_8fc8ec86,"© 2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb. ---",,Clause
cl_pol_chubb_672aec9c_4719bcf2,Discovery Period under Clause 6(i),,Clause
cl_pol_chubb_672aec9c_d7509eeb,Premium: HKD/USD,,Clause
cl_pol_chubb_672aec9c_64ede045,Discovery Period under Clause 6(i),,Clause
cl_pol_chubb_672aec9c_e987649e,Premium: HKD/USD,,Clause
cl_pol_chubb_672aec9c_2cff4210,Sub-limit of Liability in the aggregate HKD/USD,,Clause
cl_pol_chubb_672aec9c_3510141e,Sub-limit of Liability in the aggregate HKD/USD,,Clause
cl_pol_chubb_672aec9c_60c69da4,Sub-limit of Liability in the aggregate HKD/USD,,Clause
cl_pol_chubb_672aec9c_3001ecf1,Additional Limit of Liability in the aggregate HKD/USD,,Clause
cl_pol_chubb_672aec9c_c5e8d45f,Additional Limit of Liability in the aggregate HKD/USD,,Clause
cl_pol_chubb_672aec9c_fd753550,Sub-limit of Liability in the aggregate HKD/USD,,Clause
cl_pol_chubb_672aec9c_bc7a2476,SIGNED for and on behalf of Chubb Insurance Hong Kong Limited,,Clause
cl_pol_chubb_672aec9c_711962e2,Authorized Signature(s) Date,,Clause
cl_pol_chubb_672aec9c_50ecbc4f,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_1d8e9eca,"© 2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb. ---",,Clause
cl_pol_chubb_672aec9c_56150151,Endorsement Number: 1,,Clause
cl_pol_chubb_672aec9c_3200afa3,Policy Number:,,Clause
cl_pol_chubb_672aec9c_3cc88bb2,Effective Date:,,Clause
cl_pol_chubb_672aec9c_eb1657f3,In all other respects this Policy remains unaltered.,,Clause
cl_pol_chubb_672aec9c_a4ef3cd9,SIGNED for and on behalf of Chubb Insurance Hong Kong Limited,,Clause
cl_pol_chubb_672aec9c_924c6a25,Authorized Signature(s) Date,,Clause
cl_pol_chubb_672aec9c_2a9ab30e,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_992965d9,"© 2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb. --- Endorsement Number:",,Clause
cl_pol_chubb_672aec9c_084d665f,Policy Number:,,Clause
cl_pol_chubb_672aec9c_89b6254a,Effective Date:,,Clause
cl_pol_chubb_672aec9c_3f289bd2,In all other respects this Policy remains unaltered.,,Clause
cl_pol_chubb_672aec9c_dc0303ec,SIGNED for and on behalf of Chubb Insurance Hong Kong Limited,,Clause
cl_pol_chubb_672aec9c_6d95d52f,Authorized Signature(s) Date,,Clause
cl_pol_chubb_672aec9c_f66babe3,"Chubb Elite V Directors & Officers Liability Insurance Policy Schedule & Wording, Hong Kong SAR (v. Aug 2016). Published 01/2019.",,Clause
cl_pol_chubb_672aec9c_d4be3745,"© 2019 Chubb. Coverages underwritten by one or more subsidiary companies. Not all coverages available in all jurisdictions. Chubb® and its respective logos, and Chubb. Insured.SM are protected trademarks of Chubb. ---",,Clause
cl_pol_chubb_672aec9c_da69210a,"In consideration of the payment of the premium shown at Item 8 of the Schedule and subject to all terms, conditions and limitations of this Policy, the Insurer agrees with the Insured as follows:",,Clause
cl_pol_chubb_672aec9c_ada89cf4,1. A. The Insurer will pay on behalf of the Insured Person all Loss resulting from a Claim first made during the Policy Period against an Insured Person except where the Company has indemnified such Loss. 2. B. The Insurer will pay on behalf of the Company all Loss resulting from a Claim first made during the Policy Period against an Insured Person where the Company has indemnified or agreed to indemnify such Loss. 3. C. The Insurer will pay on behalf of the Company all Loss resulting from a Securities Claim first made during the Policy Period. 4. D. The Insurer will pay on behalf of the Insured Person all Legal Representation Expenses in respect of an Investigation and all such Legal Representation Expenses indemnified by the Company.,,Clause
cl_pol_chubb_672aec9c_80e88c2f,"In the event the Insurer pays Loss under Insuring Agreements 1.B or 1.C, the Limit of Liability shall be reinstated once in respect of Non-Indemnifiable Loss under Insuring Agreement 1.A and 1.D only, by an amount equal to such payment, subject to the Limit of Liability and the Conditions.",,Clause
cl_pol_chubb_672aec9c_874dfbd6,"Subject to the Aggregate Additional Excess Limit in Item 10(b) of the Schedule, the Insurer will pay to or on behalf of each director of the company in Item 1 of the Schedule or a non-executive director of any Subsidiary, Non-Indemnifiable Loss up to the Individual Additional Excess Limit in Item 10(a) of the Schedule, whether in respect of Claims or Investigations forming part of a Single Claim or otherwise, provided that:",,Clause
