:START_ID(Clause),:END_ID(Definition),:TYPE
cl_pol_qbe_f4a74bc3_3c26b565,def_pol_qbe_f4a74bc3_IN_THIS_INSURANCE,DEFINES
cl_pol_qbe_f4a74bc3_f8070d2d,def_pol_qbe_f4a74bc3_ADDITIONAL_PROTECTED_LIMIT,DEFINES
cl_pol_qbe_f4a74bc3_432774d6,def_pol_qbe_f4a74bc3_CHANGE_IN_CONTROL,DEFINES
cl_pol_qbe_f4a74bc3_f6ea3b19,def_pol_qbe_f4a74bc3_(I)_IN_RELATION,DEFINES
cl_pol_qbe_f4a74bc3_65ace941,def_pol_qbe_f4a74bc3_(II)_IN_RELATION,DEFINES
cl_pol_qbe_f4a74bc3_54a3bcec,def_pol_qbe_f4a74bc3_COMPANY_MEANS_THE,DEFINES
cl_pol_qbe_f4a74bc3_f6ac51c5,def_pol_qbe_f4a74bc3_COMPANY_SECURITIES_CLAIM,DEFINES
cl_pol_qbe_f4a74bc3_ffcaf799,def_pol_qbe_f4a74bc3_COSTS_AND_EXPENSES,DEFINES
cl_pol_qbe_f4a74bc3_0296ed5c,def_pol_qbe_f4a74bc3_20_QBE_COMMERCIAL,DEFINES
cl_pol_qbe_f4a74bc3_38d7f113,def_pol_qbe_f4a74bc3_(VII)_THE_COMPANY,DEFINES
cl_pol_qbe_f4a74bc3_9686343b,def_pol_qbe_f4a74bc3_QBE_MEANS_THE,DEFINES
cl_pol_qbe_f4a74bc3_287ac37e,def_pol_qbe_f4a74bc3_RETENTION_MEANS_THE,DEFINES
cl_pol_qbe_f4a74bc3_56825b99,def_pol_qbe_f4a74bc3_RETIRED_INSURED_PERSON,DEFINES
cl_pol_qbe_f4a74bc3_477e9401,def_pol_qbe_f4a74bc3_SECURITIES_MEANS_ANY,DEFINES
cl_pol_qbe_f4a74bc3_e4eba89e,def_pol_qbe_f4a74bc3_SECURITIES_CLAIM_MEANS,DEFINES
